City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
1407,Oschatz,DE,303.15,overcast clouds,51.3,13.1167,Hotel Gasthaus Zum Schwan
1417,Touros,BR,302.86,few clouds,-5.1989,-35.4608,INN NEW HORIZON
1418,Laguna,US,303.05,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
1423,Jaru,BR,308.7,few clouds,-10.4389,-62.4664,Hotel Paraná
1425,Rodrigues Alves,BR,304.86,broken clouds,-7.7379999999999995,-72.6509,Pousada Aconchego
1432,Santa Cruz,BO,303.85,clear sky,-17.8,-63.1667,Aviador Hotel Boutique
1440,Gela,IT,306.25,clear sky,37.0803,14.2307,B&B Santiago
1452,Georgetown,MY,303.09,few clouds,5.4112,100.3354,Cititel Penang
1459,Atbasar,KZ,300.18,overcast clouds,51.8,68.3333,"The Ritz-Carlton, Astana"
1467,Butaritari,KI,301.69,clear sky,3.0707,172.7902,Isles Sunset Lodge
1468,Hithadhoo,MV,301.33,broken clouds,-0.6,73.0833,Scoop Guest House
1486,North Platte,US,303.29,clear sky,41.1239,-100.7654,"Holiday Inn Express & Suites North Platte, an IHG Hotel"
1487,Waddan,LY,307.72,clear sky,29.1614,16.139,محل الشريف محمد العايب
1489,Winfield,US,305.82,clear sky,37.2398,-96.9956,Sonner Motor Inn
1497,Butaritari,KI,301.69,clear sky,3.0707,172.7902,Isles Sunset Lodge
1513,Zhob,PK,305.66,scattered clouds,31.3411,69.4481,ROOM # 105 DUBAI HOTEL ZHOB
1517,Lazaro Cardenas,MX,301.82,broken clouds,17.9583,-102.2,quinta antigua
1530,Morehead,US,303.77,clear sky,37.2711,-87.1764,CCI Express Inn
1532,Oussouye,SN,302.92,overcast clouds,12.485,-16.5469,Auberge du Routard
1542,Ponta Do Sol,PT,301.32,clear sky,32.6667,-17.1,Hotel do Campo
1543,Isla Vista,US,300.56,mist,34.4133,-119.861,Best Western Plus South Coast Inn
1549,Pristol,RO,302.47,overcast clouds,44.2247,22.7092,Pensiunea Gruia
1561,Butaritari,KI,301.69,clear sky,3.0707,172.7902,Isles Sunset Lodge
1562,Virginia Beach,US,302.62,clear sky,36.8529,-75.97800000000001,Hilton Virginia Beach Oceanfront
1565,Butaritari,KI,301.69,clear sky,3.0707,172.7902,Isles Sunset Lodge
1572,Kavaratti,IN,300.91,few clouds,10.5669,72.642,Hotels in Lakshadweep Islands
1582,Zhenjiang,CN,300.26,overcast clouds,32.2092,119.4342,JI Hotel Zhenjiang Railway Station
1587,San Patricio,US,305.2,clear sky,28.017,-97.5169,"Motel 6 Sinton, TX"
1588,Bethel,US,300.98,clear sky,41.3712,-73.414,Courtyard by Marriott Danbury
1603,Atyrau,KZ,303.16,clear sky,47.1167,51.8833,River Palace Hotel
1606,Dakar,SN,303.64,broken clouds,14.6937,-17.4441,Redface Studios Meublés
1608,Puerto Madero,MX,305.26,scattered clouds,14.7208,-92.4215,Hotel La Central
1611,Cabo San Lucas,MX,306.82,few clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
1622,Vieste,IT,300.86,clear sky,41.8825,16.175,Hotel Falcone
1623,Waconia,US,302.01,few clouds,44.8508,-93.7869,AmeriVu Inn and Suites - Waconia
1626,Davila,PH,300.56,heavy intensity rain,18.4726,120.5763,Blue Ridge Beach Resort
1641,Hithadhoo,MV,301.33,broken clouds,-0.6,73.0833,Scoop Guest House
1644,Mbanza-Ngungu,CD,304.27,clear sky,-5.25,14.8667,Hotel Full Business
1647,Georgetown,MY,303.09,few clouds,5.4112,100.3354,Cititel Penang
1651,Diamantino,BR,307.3,clear sky,-14.4086,-56.4461,Hotel Delta
1655,Kazerun,IR,308.92,scattered clouds,29.6195,51.6541,آپارتمان بزرگ اویسا
1656,Kalmunai,LK,301.85,overcast clouds,7.4167,81.8167,VS Villa
1678,Gizo,SB,300.67,light rain,-8.103,156.8419,Imagination Island
1686,Pimenta Bueno,BR,308.98,broken clouds,-11.6725,-61.1936,Cristalina Palace Hotel
1687,Tahta,EG,309.33,clear sky,26.7693,31.5021,El Salam Hotel
1701,Nha Trang,VN,303.15,overcast clouds,12.25,109.1833,Sheraton Nha Trang Hotel & Spa
1704,Tucupita,VE,303.96,broken clouds,9.0622,-62.051,Hotel Tucupita Su​ite C.A.
1709,Aksu,CN,304.35,clear sky,41.1231,80.2644,Pudong Holiday Hotel
1715,Sur,OM,307.4,broken clouds,22.5667,59.5289,Sur Plaza Hotel
1716,Menomonie,US,301.07,scattered clouds,44.8755,-91.9193,Best Western Plus Menomonie Inn & Suites
1719,Cabo San Lucas,MX,306.82,few clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
1720,Semirom,IR,300.33,overcast clouds,31.4167,51.5667,Motel Dena
1725,Saint George,US,304.56,overcast clouds,37.1041,-113.5841,Best Western Plus Abbey Inn
1735,Sinnamary,GF,302.63,broken clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
1736,Cassilandia,BR,303.51,clear sky,-19.1133,-51.7342,Delirius Motel
1745,Basco,PH,301.34,overcast clouds,20.4487,121.9702,Nathaniel's Lodge
1761,Qui Nhon,VN,301.06,overcast clouds,13.7667,109.2333,Hoang Yen Canary Hotel
1764,Pinheiral,BR,300.37,clear sky,-22.5128,-44.0006,Aldeia das Águas Park Resort
1767,Ponta Do Sol,PT,301.32,clear sky,32.6667,-17.1,Hotel do Campo
1777,Georgetown,MY,303.09,few clouds,5.4112,100.3354,Cititel Penang
1780,San Policarpo,PH,301.12,scattered clouds,12.1791,125.5072,JM Lodge
1785,Hithadhoo,MV,301.33,broken clouds,-0.6,73.0833,Scoop Guest House
1788,Georgetown,MY,303.09,few clouds,5.4112,100.3354,Cititel Penang
1794,Nagapattinam,IN,301.99,broken clouds,10.7667,79.8333,Sathya Lodge
1804,Kouango,CF,300.21,overcast clouds,4.9934,19.9619,
1810,Iquitos,PE,300.17,broken clouds,-3.7481,-73.2472,Casa Morey Hotel & Restaurant
1818,Koutiala,ML,303.08,overcast clouds,12.3917,-5.4642,Hotel Campement Poule Verte
1821,Sala Consilina,IT,306.7,clear sky,40.3912,15.5989,Hotel la Marchesina
1825,Linhares,BR,300.07,clear sky,-19.3911,-40.0722,Hotel Conceição
1826,Tripoli,LY,302.98,clear sky,32.8752,13.1875,Hotel Al-Safwa
1830,Kattivakkam,IN,304.2,overcast clouds,13.2167,80.3167,Euronova Freezer
1831,Meteti,PA,300.84,overcast clouds,8.4983,-77.9786,Txai Mauá
1833,Butaritari,KI,301.69,clear sky,3.0707,172.7902,Isles Sunset Lodge
1834,Bethel,US,300.98,clear sky,41.3712,-73.414,Courtyard by Marriott Danbury
1838,Kropotkin,RU,300.23,broken clouds,45.4375,40.5756,Hotel Europe Kropotkin
1846,Tucurui,BR,306.65,overcast clouds,-3.7661,-49.6725,BBB Rooms Centro Tucurui PA
1849,Cabo San Lucas,MX,306.82,few clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
1854,Pascagoula,US,306.51,scattered clouds,30.3658,-88.5561,Regency Inn
