City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Albany,US,2021-07-18 00:38:30,42.6001,-73.9662,295.52,94,100,1.25
68,Lamu,KE,2021-07-18 00:45:06,-2.2717,40.902,298.27,78,3,8.41
69,Ushuaia,AR,2021-07-18 00:45:01,-54.8,-68.3,274.96,87,0,1.54
70,Palmer,US,2021-07-18 00:45:06,42.1584,-72.3287,296.75,85,90,0.45
71,Qandala,SO,2021-07-18 00:45:07,11.472,49.8728,304.2,47,96,8.24
72,Banda Aceh,ID,2021-07-18 00:45:07,5.5577,95.3222,299.99,70,87,5.3
73,Mahebourg,MU,2021-07-18 00:45:07,-20.4081,57.7,294.31,83,75,2.57
74,Punta Arenas,CL,2021-07-18 00:45:08,-53.15,-70.9167,277.21,81,75,6.17
75,Rock Sound,BS,2021-07-18 00:45:08,24.9,-76.2,301.27,73,2,6.43
76,Cape Town,ZA,2021-07-18 00:39:03,-33.9258,18.4232,285.52,96,2,1.03
77,Oliver,CA,2021-07-18 00:45:08,49.1831,-119.5524,305.9,21,1,2.57
78,Faanui,PF,2021-07-18 00:41:55,-16.4833,-151.75,298.81,78,100,10.82
79,Laguna,US,2021-07-18 00:45:08,38.421,-121.4238,312.77,24,1,1.34
80,Rikitea,PF,2021-07-18 00:42:15,-23.1203,-134.9692,295.15,73,100,12.03
81,Polunochnoye,RU,2021-07-18 00:45:09,60.8697,60.4153,289.23,74,100,1.1
82,Akyab,MM,2021-07-18 00:44:51,20.15,92.9,300.87,80,41,1.49
83,East London,ZA,2021-07-18 00:42:15,-33.0153,27.9116,286.64,55,0,2.88
84,Andilamena,MG,2021-07-18 00:45:09,-17.0167,48.5833,287.06,86,98,3.25
85,Chipinge,ZW,2021-07-18 00:45:09,-20.1883,32.6236,280.8,61,0,0.47
86,Bathsheba,BB,2021-07-18 00:43:04,13.2167,-59.5167,300.49,83,20,6.69
87,Umea,SE,2021-07-18 00:45:10,63.8284,20.2597,289.77,94,90,11.32
88,Zhezkazgan,KZ,2021-07-18 00:43:39,47.8043,67.7144,296.97,38,17,3.85
89,Waipawa,NZ,2021-07-18 00:42:06,-41.4122,175.5153,286.5,75,100,6.5
90,Krutinka,RU,2021-07-18 00:42:07,56.0055,71.5113,285.16,87,44,3.14
91,Mataura,NZ,2021-07-18 00:42:07,-46.1927,168.8643,280.64,93,100,0.56
92,East London,ZA,2021-07-18 00:42:15,-33.0153,27.9116,286.64,55,0,2.88
93,Rikitea,PF,2021-07-18 00:42:15,-23.1203,-134.9692,295.15,73,100,12.03
94,Ferme-Neuve,CA,2021-07-18 00:42:08,46.7001,-75.4493,295.03,87,100,0.45
95,Chara,RU,2021-07-18 00:42:16,56.9064,118.2631,297.9,48,73,1.3
96,Bengkulu,ID,2021-07-18 00:42:09,-3.8004,102.2655,298.68,82,78,1.6
97,Hermanus,ZA,2021-07-18 00:42:09,-34.4187,19.2345,285.82,84,6,4.34
98,Albany,US,2021-07-18 00:38:30,42.6001,-73.9662,295.52,94,100,1.25
99,Norman Wells,CA,2021-07-18 00:42:09,65.282,-126.8329,299.17,21,20,4.12
100,Georgetown,MY,2021-07-18 00:44:54,5.4112,100.3354,301.42,86,20,0.45
101,Bredasdorp,ZA,2021-07-18 00:44:52,-34.5322,20.0403,285.53,87,7,0.0
102,Rikitea,PF,2021-07-18 00:42:15,-23.1203,-134.9692,295.15,73,100,12.03
103,Namibe,AO,2021-07-18 00:45:10,-15.1961,12.1522,292.32,90,0,2.5
104,Coihaique,CL,2021-07-18 00:45:11,-45.5752,-72.0662,276.12,81,75,1.54
105,Chapais,CA,2021-07-18 00:45:11,49.7834,-74.8492,297.03,58,59,1.98
106,East London,ZA,2021-07-18 00:42:15,-33.0153,27.9116,286.64,55,0,2.88
107,Ahipara,NZ,2021-07-18 00:45:11,-35.1667,173.1667,289.23,86,68,8.66
108,Taos,US,2021-07-18 00:45:12,36.4072,-105.5731,298.55,61,90,0.89
109,Ushuaia,AR,2021-07-18 00:45:01,-54.8,-68.3,274.96,87,0,1.54
110,Albany,US,2021-07-18 00:38:30,42.6001,-73.9662,295.52,94,100,1.25
111,Beringovskiy,RU,2021-07-18 00:45:12,63.05,179.3167,287.32,69,100,3.59
112,Mataura,NZ,2021-07-18 00:42:07,-46.1927,168.8643,280.64,93,100,0.56
113,Esperance,AU,2021-07-18 00:45:12,-33.8667,121.9,284.06,79,16,5.94
114,Sayyan,YE,2021-07-18 00:45:12,15.1718,44.3244,290.6,44,100,2.07
115,Bansang,GM,2021-07-18 00:45:13,13.4333,-14.65,303.34,75,99,2.44
116,Ushuaia,AR,2021-07-18 00:45:01,-54.8,-68.3,274.96,87,0,1.54
117,Watrous,CA,2021-07-18 00:43:11,51.6668,-105.4679,304.03,37,1,7.72
118,Hasaki,JP,2021-07-18 00:42:49,35.7333,140.8333,303.31,74,100,3.59
119,Charleston,US,2021-07-18 00:45:11,32.7766,-79.9309,301.6,82,1,1.79
120,Ushuaia,AR,2021-07-18 00:45:01,-54.8,-68.3,274.96,87,0,1.54
121,Nouadhibou,MR,2021-07-18 00:45:13,20.931,-17.0347,293.14,94,75,4.63
122,Karpathos,GR,2021-07-18 00:45:13,35.507,27.2132,297.73,81,0,2.64
123,Maua,BR,2021-07-18 00:45:14,-23.6678,-46.4614,292.31,79,0,1.72
124,Dikson,RU,2021-07-18 00:45:14,73.5069,80.5464,274.48,92,100,4.39
125,Ushuaia,AR,2021-07-18 00:45:01,-54.8,-68.3,274.96,87,0,1.54
126,Axim,GH,2021-07-18 00:45:14,4.8699,-2.2405,297.51,76,100,2.7
127,Bintulu,MY,2021-07-18 00:45:14,3.1667,113.0333,299.38,94,20,1.34
128,Hobyo,SO,2021-07-18 00:45:15,5.3505,48.5268,297.65,82,84,11.0
129,Oktyabrskiy,RU,2021-07-18 00:45:15,54.4815,53.471,290.65,74,90,0.98
130,Ribeira Grande,PT,2021-07-18 00:45:15,38.5167,-28.7,293.27,71,14,3.4
131,Mataura,NZ,2021-07-18 00:42:07,-46.1927,168.8643,280.64,93,100,0.56
132,Cape Town,ZA,2021-07-18 00:39:03,-33.9258,18.4232,285.52,96,2,1.03
133,Warri,NG,2021-07-18 00:45:16,5.5167,5.75,297.31,89,100,1.16
134,Castro,BR,2021-07-18 00:45:16,-24.7911,-50.0119,284.75,99,28,2.07
135,Rikitea,PF,2021-07-18 00:42:15,-23.1203,-134.9692,295.15,73,100,12.03
136,Georgetown,MY,2021-07-18 00:44:54,5.4112,100.3354,301.42,86,20,0.45
137,Hithadhoo,MV,2021-07-18 00:45:17,-0.6,73.0833,300.71,75,42,2.77
138,Adelaide,AU,2021-07-18 00:45:04,-34.9333,138.6,284.58,87,75,3.6
139,Mayo,US,2021-07-18 00:45:17,38.8876,-76.5119,303.46,82,1,1.54
140,Camocim,BR,2021-07-18 00:45:17,-2.9022,-40.8411,298.05,86,4,3.87
141,Pevek,RU,2021-07-18 00:45:18,69.7008,170.3133,276.25,93,100,7.7
142,Georgetown,MY,2021-07-18 00:44:54,5.4112,100.3354,301.42,86,20,0.45
143,Alofi,NU,2021-07-18 00:43:10,-19.0595,-169.9187,300.09,74,5,6.69
144,Castro,BR,2021-07-18 00:45:16,-24.7911,-50.0119,284.75,99,28,2.07
145,Vaini,TO,2021-07-18 00:45:18,-21.2,-175.2,300.24,83,40,3.6
146,Patna,IN,2021-07-18 00:41:53,25.6,85.1167,298.11,88,75,2.06
147,Aksu,CN,2021-07-18 00:45:19,41.1231,80.2644,297.73,51,100,3.44
148,Rikitea,PF,2021-07-18 00:42:15,-23.1203,-134.9692,295.15,73,100,12.03
