City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
1588,Longyearbyen,SJ,78.2186,15.6401,280.06,87,75,3.6,Clouds
1589,Chapleau,CA,47.8405,-83.4034,299.2,44,20,4.63,Clouds
1590,Nouakchott,MR,18.0858,-15.9785,296.11,81,0,5.91,Clear
1591,Magistralnyy,RU,56.1725,107.4458,289.26,85,65,1.87,Clouds
1592,Hilo,US,19.7297,-155.09,306.08,81,90,3.09,Rain
1593,Vyazemskiy,RU,47.5378,134.7525,303.87,57,71,1.85,Clouds
1594,Barrow,US,71.2906,-156.7887,276.16,87,90,7.72,Rain
1595,Tonantins,BR,-2.8731,-67.8022,299.57,74,100,0.95,Clouds
1596,Mao,ES,39.8885,4.2658,299.46,78,0,3.6,Clear
1597,Ponta Do Sol,PT,32.6667,-17.1,295.5,60,3,3.05,Clear
1598,Coihaique,CL,-45.5752,-72.0662,278.49,75,75,2.57,Clouds
1599,Zemio,CF,5.0314,25.1361,293.45,97,76,1.4,Rain
1600,Bredasdorp,ZA,-34.5322,20.0403,282.77,76,0,4.63,Clear
1601,Bambous Virieux,MU,-20.3428,57.7575,293.29,83,40,1.54,Clouds
1602,Saint-Francois,FR,46.4154,3.9054,297.69,79,0,1.54,Clear
1603,Saint George,US,37.1041,-113.5841,312.41,26,1,4.02,Clear
1604,Talnakh,RU,69.4865,88.3972,289.49,71,100,8.69,Clouds
1605,Recas,RO,45.7989,21.5008,294.16,88,0,2.06,Rain
1606,Mataura,NZ,-46.1927,168.8643,282.3,72,43,1.48,Clouds
1607,Jamestown,US,42.097,-79.2353,298.06,55,1,0.89,Clear
1608,Bambous Virieux,MU,-20.3428,57.7575,293.29,83,40,1.54,Clouds
1609,Meulaboh,ID,4.1363,96.1285,297.89,88,100,1.86,Clouds
1610,Port Alfred,ZA,-33.5906,26.891,284.71,67,98,2.1,Clouds
1611,Provideniya,RU,64.3833,-173.3,285.58,62,65,3.3,Clouds
1612,Wonthaggi,AU,-38.6044,145.5913,283.26,77,49,9.45,Clouds
